Tipo,T [°C],CO2 Concentration [a.u.]
REF,437.4,3.17E-06
REF,438.2,2.59E-06
REF,438.7,3.24E-06
REF,439.4,4.11E-06
REF,439.8,3.88E-06
REF,440.4,3.34E-06
REF,441,2.68E-06
REF,441.5,3.39E-06
REF,442.3,5.08E-06
REF,442.9,4.45E-06
REF,443.7,4.22E-06
REF,444.4,5.75E-06
REF,445.1834323,4.59E-06
REF,445.9,4.69E-06
REF,446.0840939,3.64E-06
REF,447,4.80E-06
REF,447.4,5.02E-06
REF,448,5.21E-06
REF,448.5,5.51E-06
REF,449.2,6.22E-06
REF,450.1,4.58E-06
REF,450.7,6.11E-06
REF,451.6,6.51E-06
REF,452.2,7.62E-06
REF,452.5888729,7.60E-06
REF,453.5,7.35E-06
REF,454.1,6.54E-06
REF,454.7,6.28E-06
REF,455.1,6.26E-06
REF,455.7,8.68E-06
REF,456.5,8.39E-06
REF,457.1,7.07E-06
REF,458,7.10E-06
REF,458.6,5.81E-06
REF,459.2937989,9.02E-06
REF,460,9.82E-06
REF,460.6,1.14E-05
REF,461.3,6.57E-06
REF,461.7,6.29E-06
REF,462.3,7.15E-06
REF,462.8,5.24E-06
REF,463.5,5.59E-06
REF,464.497622,8.67E-06
REF,465.1,6.40E-06
REF,465.9,7.38E-06
REF,466.6,8.73E-06
REF,467.2,7.95E-06
REF,467.7,7.84E-06
REF,468.3,9.60E-06
REF,468.8,3.63E-06
REF,469.3,7.96E-06
REF,470,8.21E-06
REF,470.7021803,3.84E-06
REF,471.4,9.23E-06
REF,472.2,5.97E-06
REF,472.9,7.10E-06
REF,473.7,7.73E-06
REF,474.2,4.86E-06
REF,474.9,5.98E-06
REF,475.2,8.02E-06
REF,475.8,5.77E-06
REF,476.4,8.76E-06
REF,476.9,8.17E-06
REF,477.7,6.61E-06
REF,478.3,8.86E-06
REF,479.2,7.23E-06
REF,480.1,9.41E-06
REF,480.7,5.23E-06
REF,481.4,8.74E-06
REF,481.9,8.98E-06
REF,482.4,6.72E-06
REF,482.8,7.41E-06
REF,483.5,8.11E-06
REF,484.1120322,8.04E-06
REF,484.6,5.50E-06
REF,485.5,9.58E-06
REF,486.1,6.82E-06
REF,486.8140174,1.04E-05
REF,487.6,8.58E-06
REF,487.8147525,6.50E-06
REF,489,7.06E-06
REF,489.5,7.95E-06
REF,490,8.31E-06
REF,490.4,8.78E-06
REF,491,9.23E-06
REF,491.6,7.63E-06
REF,492.4,6.77E-06
REF,493.3,7.93E-06
REF,494,6.58E-06
REF,494.8,9.60E-06
REF,495.4,7.31E-06
REF,496,5.13E-06
REF,496.6,8.33E-06
REF,497,7.61E-06
REF,497.6,7.81E-06
REF,498,9.49E-06
REF,498.7,5.59E-06
REF,499.3,7.83E-06
REF,500.2238692,7.90E-06
REF,501.2,7.81E-06
REF,501.8,7.32E-06
REF,502.5,1.06E-05
REF,503.1,6.28E-06
REF,503.6,7.41E-06
REF,504.1,7.05E-06
REF,504.5,8.10E-06
REF,505.2,7.47E-06
REF,505.7,8.62E-06
REF,506.5,8.66E-06
REF,507.4,6.79E-06
REF,508.1,6.70E-06
REF,508.9,6.37E-06
REF,509.5,8.61E-06
REF,510.2,4.82E-06
REF,510.6,9.90E-06
REF,511.2,7.28E-06
REF,511.6,8.01E-06
REF,511.9324712,6.28E-06
REF,512.8,8.86E-06
REF,513.4335741,7.21E-06
REF,514.3,6.19E-06
REF,515,6.42E-06
REF,515.8,9.08E-06
REF,516.6,8.02E-06
REF,517.1,6.91E-06
REF,517.6,5.88E-06
REF,518,6.54E-06
REF,518.5,5.02E-06
REF,518.9,7.89E-06
REF,519.7,7.32E-06
REF,520.5,6.25E-06
REF,521.1,8.36E-06
REF,522.1,8.89E-06
REF,522.7,5.99E-06
REF,523.5,7.00E-06
REF,524.2,6.78E-06
REF,524.6,6.22E-06
REF,525.1,6.64E-06
REF,525.5,6.85E-06
REF,526.1,5.95E-06
REF,526.6,1.02E-05
REF,527.4,8.15E-06
