TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%]
7.58833,25.55184,36.35684,,7.58889,34.57177,46.36528,,7.58833,36.44899,48.19887,,7.58889,32.38497,43.26976,,7.58861,34.88887,46.7445,,7.58861,34.57974,46.58927,,7.58861,34.31898,45.3266,,7.58861,30.33971,43.34731,,7.58889,39.87646,52.49198,,7.73,39.53593,51.94947
7.73,25.47807,36.35961,,7.73028,34.54451,46.20251,,7.73,36.2888,48.20014,,7.73028,32.05735,43.14127,,7.73056,34.82122,46.63843,,7.73028,34.47114,46.6101,,7.73056,34.01531,45.22532,,7.73028,30.3537,43.44864,,7.73028,39.8281,52.44403,,7.87194,39.45119,51.7504
7.87194,25.53969,36.37771,,7.87194,34.63496,46.28558,,7.87167,36.32714,47.98025,,7.87167,32.0863,43.10957,,7.87222,34.81187,46.51887,,7.87194,34.67873,46.39191,,7.87194,34.04548,45.07946,,7.87194,30.35325,43.62072,,7.87194,39.85491,52.53587,,8.01361,39.4454,51.79766
8.01333,25.3302,36.26572,,8.01361,34.39149,46.16027,,8.01306,36.27728,47.98636,,8.01333,31.59934,43.07004,,8.01361,34.73843,46.45922,,8.01361,34.45484,46.40178,,8.01361,33.91281,44.9051,,8.01333,30.42601,43.42871,,8.01389,39.86582,52.40264,,8.15528,39.30294,51.84468
8.155,25.46984,36.18889,,8.15556,34.44169,46.18587,,8.15472,36.21825,47.96739,,8.155,31.94155,42.87035,,8.15556,34.81321,46.38212,,8.15528,34.88426,46.20849,,8.15528,34.05911,44.72549,,8.155,30.44414,43.52447,,8.15556,39.82329,52.49979,,8.29694,39.40024,51.76436
8.29639,25.27831,36.08091,,8.29694,34.35799,46.16653,,8.29639,36.13408,47.82245,,8.29667,31.75174,42.98294,,8.29667,34.72161,46.19078,,8.29694,34.38611,46.16485,,8.29694,33.59765,44.73697,,8.29694,30.64023,43.45327,,8.29722,39.75751,52.3712,,8.43833,39.29741,51.66766
8.43833,25.2762,36.0886,,8.43833,34.37196,46.11889,,8.43833,36.14968,47.84569,,8.43833,31.69058,42.83338,,8.43833,34.63487,46.20172,,8.43833,34.3817,46.21173,,8.43861,33.60061,44.72833,,8.43833,30.51524,43.83732,,8.43833,39.78137,52.35633,,8.57972,39.19744,51.625
8.58,25.18013,36.00342,,8.58,34.41258,45.89224,,8.57972,36.08013,47.85901,,8.58,31.63061,42.86692,,8.58,34.6298,46.09232,,8.58028,34.21012,46.04903,,8.58,33.57009,44.58158,,8.58,30.58235,43.65045,,8.58,39.82533,52.41469,,8.72139,39.18117,51.63508
8.72139,25.19323,36.05837,,8.72167,34.30407,46.0072,,8.72139,36.01339,47.75391,,8.72167,31.57613,42.79169,,8.72167,34.5556,46.2264,,8.72167,34.04111,46.15043,,8.72167,33.60275,44.58906,,8.72167,30.60164,43.45653,,8.72194,39.80823,52.45378,,8.86306,39.12677,51.51061
8.86306,25.23218,36.02496,,8.86333,34.26974,45.91662,,8.86278,35.96893,47.69109,,8.86333,31.53767,42.67493,,8.86361,34.4956,46.07088,,8.86361,34.01079,46.03806,,8.86361,33.39232,44.50419,,8.86333,30.71719,43.48436,,8.86333,39.69972,52.35342,,9.00472,38.98959,51.41542
9.00444,25.10972,35.88499,,9.005,34.19729,45.89666,,9.00444,35.8774,47.72999,,9.005,31.33854,42.52388,,9.005,34.54383,45.97339,,9.005,34.12325,45.70253,,9.00472,33.15745,44.45195,,9.00472,30.69025,43.67228,,9.00472,39.72419,52.43138,,9.14611,39.0852,51.55512
9.14611,25.09299,35.72597,,9.14667,34.12936,45.81994,,9.14611,35.97291,47.51635,,9.14639,31.42289,42.56712,,9.14667,34.42483,46.04902,,9.14639,34.05189,45.66654,,9.14639,33.33516,44.32178,,9.14639,30.70182,43.44353,,9.14639,39.76979,52.35963,,9.28778,38.98991,51.29098
9.28806,24.93482,35.63615,,9.28833,34.08061,45.65824,,9.28778,35.83294,47.44638,,9.28806,31.24901,42.40655,,9.28833,34.18828,45.93474,,9.28806,34.08975,45.63927,,9.28806,33.21997,44.25564,,9.28806,30.61264,43.59354,,9.28833,39.75646,52.2731,,9.42944,38.86895,51.4153
9.42972,24.86708,35.56333,,9.42972,34.08307,45.68553,,9.42944,35.80597,47.52772,,9.42972,31.29004,42.24589,,9.43,34.23826,45.81116,,9.42972,33.79177,45.71505,,9.42972,33.20705,44.25676,,9.42972,30.65308,43.58235,,9.42972,39.68516,52.26909,,9.57111,38.8449,51.32654
