TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%],,TOS_4CO2 [h],X_CH4_4CO2 [%],X_CO2_4CO2 [%],,TOS_30CO2 [h],X_CH4_30CO2 [%],X_CO2_30CO2 [%],,TOS_60CO2 [h],X_CH4_60CO2 [%],X_CO2_60CO2 [%]
25.08333,44.40903,56.40732,,24.08333,35.98299,46.54268,,24.58333,-0.1491,-0.1415,,25.08333,-0.28481,-0.1411
25.22444,43.55315,55.84426,,24.22472,34.85966,45.93851,,24.72472,-0.13528,-0.1173,,25.22528,-0.17616,-0.11055
25.36611,42.99698,55.40376,,24.36639,34.14344,45.08358,,24.86611,-0.16024,0.06447,,25.36639,-0.28993,-0.05232
25.50778,42.50366,54.99131,,24.50806,33.10139,44.27144,,25.00806,-0.03962,-0.04935,,25.50806,-0.20365,-0.16506
25.64944,42.33335,54.66956,,24.64972,32.87852,43.93357,,25.14972,-0.32604,0.19485,,25.64972,-0.0712,0.02023
25.79111,42.00951,54.44247,,24.79167,32.27126,43.3315,,25.29139,-0.45594,0.27194,,25.79111,-0.11727,0.15259
25.93278,41.84874,54.27044,,24.93278,32.00804,43.04526,,25.43306,-0.0672,-0.10443,,25.93278,0.07316,0.34814
26.07444,41.23082,53.75364,,25.07444,31.87041,42.70124,,25.57417,-0.03473,0.31317,,26.07472,0.40656,1.13678
26.21611,41.03949,53.66923,,25.21611,31.54369,42.39887,,25.71583,0.48838,1.50972,,26.21639,1.10787,2.43976
26.35778,40.72914,53.56964,,25.35778,31.31543,42.24789,,25.8575,1.32951,2.9306,,26.35778,2.18671,4.73633
26.49917,40.64812,53.28792,,25.49917,31.15039,41.99866,,25.99944,2.23833,4.88528,,26.49972,3.32877,6.68407
26.64083,40.53667,53.07096,,25.64083,30.80237,41.64237,,26.14083,3.3277,6.8172,,26.64139,4.23755,8.58902
26.78278,40.34213,53.01574,,25.7825,30.48288,41.53897,,26.2825,3.9815,8.18997,,26.7825,5.00841,10.01297
26.92417,40.2413,52.97101,,25.92417,30.45719,41.44159,,26.42417,4.72048,9.64701,,26.92444,5.60511,11.42503
27.06583,40.11669,52.71376,,26.06583,30.40503,41.27932,,26.56611,5.33844,10.68426,,27.06611,6.24626,12.1271
27.20722,39.53894,52.30503,,26.2075,30.23147,41.05605,,26.70722,5.85636,11.41071,,27.2075,6.69728,13.09379
27.34917,39.24564,51.98604,,26.34944,30.12503,41.04221,,26.84889,6.26208,12.3427,,27.34889,7.23738,14.01498
27.49083,38.80498,51.51665,,26.49111,30.02954,40.78792,,26.99056,6.62705,13.01408,,27.49056,7.56297,14.38873
27.63222,38.75413,51.42046,,26.63222,29.90346,40.67783,,27.13222,6.92148,13.63234,,27.63222,7.75928,14.62172
27.77361,38.64023,51.30809,,26.77389,29.74475,40.63251,,27.27389,7.19933,14.10421,,27.77361,8.03036,15.38196
27.91528,38.49954,51.29416,,26.91556,29.70714,40.48577,,27.41528,7.51239,14.15876,,27.91528,8.22198,15.62502
28.05667,38.38869,51.138,,27.05694,29.63242,40.25224,,27.55694,7.60752,14.51943,,28.0575,8.43012,15.86252
28.19833,38.32109,51.05253,,27.19861,29.55737,40.35484,,27.69889,7.76375,15.03844,,28.19861,8.63966,16.07598
28.34,38.20829,51.09469,,27.34056,29.16242,40.03396,,27.84056,7.8784,15.08874,,28.34028,8.79611,16.50668
28.48167,38.12669,50.79053,,27.48194,29.12449,39.86763,,27.98194,8.09065,15.37523,,28.48222,8.95454,16.73537
28.62306,38.0958,50.73907,,27.62361,29.16627,39.8963,,28.12361,8.11182,15.62053,,28.62361,9.00035,17.08227
28.765,37.94748,50.76824,,27.76556,29.02383,39.73946,,28.26528,8.09659,15.59626,,28.765,9.25671,17.1391
28.90667,37.92283,50.51624,,27.90694,28.87385,39.61698,,28.40667,8.35603,15.82904,,28.90694,9.30721,17.23497
29.04833,37.87354,50.56957,,28.04833,28.90717,39.57492,,28.54833,8.36968,15.97595,,29.04833,9.39508,17.39659
29.18972,37.78328,50.58237,,28.19028,28.8229,39.45447,,28.69,8.48831,16.22977,,29.19,9.42335,17.64532
29.33139,37.56181,50.38907,,28.33194,28.76169,39.42551,,28.83167,8.68835,16.21206,,29.33194,9.57684,17.76179
29.47306,37.57369,50.31111,,28.47361,28.75325,39.28575,,28.97333,8.64936,16.34651,,29.47333,9.85662,17.86931
29.615,37.47304,50.16575,,28.615,28.70722,39.24338,,29.11444,8.80659,16.56888,,29.615,9.73301,18.10187
29.75611,37.38706,50.24919,,28.75667,28.56442,39.18316,,29.25611,8.79324,16.69097,,29.75667,9.84998,18.29408
29.89778,37.41214,50.17125,,28.89833,28.57251,39.17645,,29.39806,8.8326,16.62239,,29.89833,9.79397,18.22155
30.03972,37.18185,50.25459,,29.03944,28.53311,39.2098,,29.53972,8.91258,16.60995,,30.04,9.88933,18.34744
30.18083,37.1441,50.00393,,29.18111,28.32241,38.8657,,29.68111,8.79213,16.75009,,30.18139,9.94382,18.53733
30.3225,37.10639,49.84897,,29.32278,28.42628,39.0068,,29.8225,8.94924,16.92698,,30.32278,9.954,18.53633
30.46417,37.07954,49.86754,,29.46444,28.44628,38.8768,,29.96444,9.04129,16.94549,,30.46444,10.12411,18.57476
