Tipo,TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%]
60CO2_C2,27.06611,6.24626,12.1271
60CO2_C2,27.2075,6.69728,13.09379
60CO2_C2,27.34889,7.23738,14.01498
60CO2_C2,27.49056,7.56297,14.38873
60CO2_C2,27.63222,7.75928,14.62172
60CO2_C2,27.77361,8.03036,15.38196
60CO2_C2,27.91528,8.22198,15.62502
60CO2_C2,28.0575,8.43012,15.86252
60CO2_C2,28.19861,8.63966,16.07598
60CO2_C2,28.34028,8.79611,16.50668
60CO2_C2,28.48222,8.95454,16.73537
60CO2_C2,28.62361,9.00035,17.08227
60CO2_C2,28.765,9.25671,17.1391
60CO2_C2,28.90694,9.30721,17.23497
60CO2_C2,29.04833,9.39508,17.39659
60CO2_C2,29.19,9.42335,17.64532
60CO2_C2,29.33194,9.57684,17.76179
60CO2_C2,29.47333,9.85662,17.86931
60CO2_C2,29.615,9.73301,18.10187
60CO2_C2,29.75667,9.84998,18.29408
60CO2_C2,29.89833,9.79397,18.22155
60CO2_C2,30.04,9.88933,18.34744
60CO2_C2,30.18139,9.94382,18.53733
60CO2_C2,30.32278,9.954,18.53633
60CO2_C2,30.46444,10.12411,18.57476
60CO2_C2,30.60611,10.03694,18.68137
60CO2_C2,30.7475,10.10536,18.96516
60CO2_C2,30.88917,10.17364,18.81243
60CO2_C2,31.03083,10.33772,18.91426
60CO2_C2,31.17278,10.39224,18.92615
60CO2_C2,31.31417,10.50078,18.96267
60CO2_C2,31.45583,10.47072,19.02338
60CO2_C2,31.5975,10.4907,19.14065
60CO2_C2,31.73944,10.48408,19.16554
60CO2_C2,31.88056,10.46,19.15524
60CO2_C2,32.0225,10.48428,19.08936
60CO2_C2,32.16417,10.54253,19.35363
60CO2_C2,32.30528,10.53598,19.40915
60CO2_C2,32.44694,10.58902,19.25886
60CO2_C2,32.58861,10.61633,19.32775
60CO2_C2,32.73028,10.56456,19.53814
60CO2_C2,32.87167,10.69226,19.58459
60CO2_C2,33.01333,10.63,19.47544
60CO2_C2,33.155,10.73436,19.55562
60CO2_C2,33.29667,10.7857,19.63537
60CO2_C2,33.43861,10.74408,19.56219
60CO2_C2,33.58028,10.78793,19.55092
60CO2_C2,33.72194,10.88738,19.71927
