TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%]
7.16361,26.09082,36.62671,,7.16361,34.76998,46.67668,,7.16417,33.76256,45.53081,,7.16417,32.39327,43.46059,,7.16389,35.98258,47.93117,,7.16389,31.41233,43.18773,,7.16417,33.96251,44.74198,,7.16417,30.04144,43.54599,,7.16389,41.01736,53.70545,,7.16361,41.34162,53.70466
7.30583,26.06757,36.70563,,7.305,34.97621,46.52947,,7.30611,33.62032,45.54088,,7.30583,32.5377,43.61358,,7.30528,35.92527,47.86426,,7.30528,31.40705,43.11166,,7.30583,33.84212,44.46743,,7.30556,29.88655,43.2568,,7.30528,40.99987,53.58484,,7.30556,41.34328,53.63537
7.44722,26.08533,36.69752,,7.44694,35.00422,46.58486,,7.44722,33.64322,45.4483,,7.44722,32.51761,43.39514,,7.44722,35.92329,47.7361,,7.44722,31.56024,42.96647,,7.44694,33.7656,44.27604,,7.44694,30.00851,43.34556,,7.44694,41.03927,53.54132,,7.44722,41.19947,53.7102
7.58861,26.06296,36.59534,,7.58861,35.00401,46.67496,,7.58889,33.55741,45.17392,,7.58889,32.44599,43.19246,,7.58889,35.70908,47.63658,,7.58861,31.43403,42.95698,,7.58861,33.6762,44.15903,,7.58833,30.04683,43.44527,,7.58889,40.99295,53.74103,,7.58889,41.30907,53.72298
7.73028,26.02061,36.48562,,7.73028,34.86711,46.70743,,7.73056,33.63661,45.34252,,7.73056,32.39427,43.20597,,7.73028,35.65762,47.66604,,7.73056,31.18366,42.91622,,7.73056,33.613,44.18963,,7.73,29.97239,43.51942,,7.73028,40.9932,53.68135,,7.73,41.35487,53.65446
7.87167,25.98964,36.24748,,7.87194,34.84629,46.51315,,7.87194,33.55745,45.41551,,7.87222,32.14504,43.23379,,7.87167,35.55159,47.65663,,7.87194,31.27381,42.82252,,7.87194,33.50067,44.21269,,7.87167,29.98507,43.44214,,7.87194,40.93234,53.57165,,7.87167,41.266,53.44845
8.01333,25.99712,36.40412,,8.01333,34.67538,46.69248,,8.01361,33.57046,45.19608,,8.01389,32.18458,43.04375,,8.01361,35.54585,47.47739,,8.01361,31.08989,42.92278,,8.01361,33.50473,44.04689,,8.01361,30.10989,43.47887,,8.01333,41.00655,53.57902,,8.01389,41.25671,53.42814
8.155,25.90105,36.30733,,8.15528,34.85684,46.52659,,8.15528,33.43168,45.21063,,8.15556,31.99068,42.96342,,8.15528,35.59204,47.51882,,8.155,31.20918,42.63388,,8.15528,33.28638,44.1148,,8.15528,30.10243,43.42077,,8.15556,41.10821,53.47557,,8.15528,41.3108,53.55946
8.29667,25.79018,36.21645,,8.29694,34.88492,46.56627,,8.29694,33.31627,45.22379,,8.29694,31.95964,42.89651,,8.29694,35.40539,47.39715,,8.29694,31.18719,42.51858,,8.29694,33.29341,43.86897,,8.29667,30.09545,43.43504,,8.29694,41.13205,53.54896,,8.29667,41.20659,53.40958
8.43833,25.72259,35.99318,,8.43833,34.93735,46.42509,,8.43861,33.47038,45.11597,,8.43889,32.01089,42.89375,,8.43833,35.51603,47.2229,,8.43861,30.86493,42.47965,,8.43861,33.23464,43.79068,,8.43833,30.05142,43.38503,,8.43833,41.1796,53.42388,,8.43861,41.2658,53.50229
8.58,25.63797,36.03797,,8.57972,34.8988,46.47015,,8.58028,33.35453,45.14587,,8.58056,31.99066,42.74491,,8.58,35.3026,47.19582,,8.58,30.9032,42.48981,,8.58028,33.16059,43.55213,,8.58,30.04449,43.3315,,8.58028,40.92049,53.67826,,8.57972,41.19557,53.30428
8.72139,25.61476,35.86486,,8.72139,34.86338,46.31892,,8.72194,33.37517,44.99315,,8.72222,31.75224,42.672,,8.72139,35.19392,47.08156,,8.72194,30.7343,42.33821,,8.72167,33.02209,43.67636,,8.72139,30.12077,43.4889,,8.72167,41.06354,53.59771,,8.72139,41.04481,53.20143
8.86306,25.5556,36.01847,,8.86278,34.9464,46.31751,,8.86361,33.27838,44.97907,,8.86333,31.79117,42.69839,,8.86306,35.1074,47.08139,,8.86333,30.80643,42.41847,,8.86306,32.90972,43.49435,,8.86306,30.10282,43.40746,,8.86333,40.98455,53.54067,,8.86306,41.08881,53.25263
9.00472,25.39355,35.91984,,9.00444,34.86335,46.34619,,9.00528,33.31155,44.85635,,9.005,31.62829,42.50923,,9.00472,35.09075,46.87851,,9.005,30.60239,42.23368,,9.005,32.85037,43.59998,,9.00444,30.10188,43.56684,,9.005,40.8911,53.49663,,9.00472,41.00122,53.24019
